func_num,bound_mul,mean,stddev
3,1,0.00121394,3.43286e-05
3,2,0.00122535,2.79299e-05
3,3,0.00123513,1.39278e-05
3,4,0.00119333,2.18314e-05
3,5,0.00123037,1.79716e-05
3,6,0.0012212,3.00779e-05
3,7,0.00122152,2.92654e-05
3,8,0.00119951,1.79998e-05
3,9,0.0012101,1.95424e-05
3,10,0.00119195,1.66718e-05
4,1,0.0015386,3.52449e-06
4,2,0.00155774,2.74629e-05
4,3,0.00158615,3.2457e-05
4,4,0.00156118,2.73576e-05
4,5,0.00157928,3.42765e-05
4,6,0.00158386,2.38458e-05
4,7,0.00160597,5.75177e-05
4,8,0.00157584,3.72387e-05
4,9,0.00156054,3.68524e-05
4,10,0.00158274,3.52078e-05
